Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,312.385925,315.745667,308.096741,314.408295,314.408295,910568057
2024-01-02,314.267548,320.933228,308.350647,312.103821,312.103821,1133024158
2024-01-03,312.151611,332.749207,301.419189,316.661285,316.661285,1927148986
2024-01-04,316.624451,323.822479,312.145447,323.600006,323.600006,1285291962
2024-01-05,323.620239,327.042328,310.650665,317.450287,317.450287,1257230413
2024-01-06,317.495178,317.827271,301.395966,307.794495,307.794495,1051283820
2024-01-07,307.794067,309.882385,301.086212,302.890533,302.890533,817795075
2024-01-08,302.903503,308.283478,290.880402,304.500397,304.500397,1141697708
2024-01-09,304.475250,306.670807,296.519989,300.976105,300.976105,1374376391
2024-01-10,300.982605,309.602875,290.122040,305.096832,305.096832,1199728038
2024-01-11,305.223785,316.720062,302.647522,308.701508,308.701508,1326827289
2024-01-12,308.628326,312.686584,290.737274,296.630463,296.630463,1198386629
2024-01-13,296.625427,302.924042,291.519745,302.227295,302.227295,816347256
2024-01-14,302.227112,306.502319,299.014252,299.051331,299.051331,787643004
2024-01-15,299.025818,319.590057,299.025818,317.567261,317.567261,1667214322
2024-01-16,317.546783,318.745941,313.542847,315.226257,315.226257,1143877764
2024-01-17,315.161224,315.927551,307.358765,309.085388,309.085388,1206464161
2024-01-18,309.093109,315.143188,305.717163,313.292877,313.292877,1105813150
2024-01-19,313.292877,315.640076,306.377838,314.300446,314.300446,1036123822
2024-01-20,314.300232,316.960388,312.303619,316.960388,316.960388,694855739
2024-01-21,316.961761,321.283813,316.222595,318.318695,318.318695,723174009
2024-01-22,318.379089,319.740082,304.578217,305.437012,305.437012,948987847
2024-01-23,305.437500,311.173859,291.057281,298.403900,298.403900,1065495592
2024-01-24,298.407227,300.340973,290.854340,293.091431,293.091431,960725208
2024-01-25,293.092987,296.052490,287.728149,291.919281,291.919281,1086918042
2024-01-26,291.939056,303.791840,290.877380,302.317993,302.317993,964268733
2024-01-27,302.317169,307.411438,302.061432,305.824829,305.824829,691653061
2024-01-28,305.774384,308.768646,303.292358,304.975616,304.975616,782354766
2024-01-29,305.021454,310.713013,304.603577,310.708008,310.708008,824640185
2024-01-30,310.708008,312.962219,306.917938,307.462738,307.462738,777667889
2024-01-31,307.472382,307.864990,298.960632,300.351074,300.351074,814318731
2024-02-01,300.351074,301.883179,296.562134,300.175903,300.175903,754502530
2024-02-02,300.163910,304.285065,299.942780,301.154968,301.154968,699579739
2024-02-03,301.181396,303.509155,299.625061,299.736725,299.736725,606345017
2024-02-04,299.715668,307.409332,298.212616,304.734161,304.734161,818836774
2024-02-05,304.718445,306.523132,299.549133,300.854034,300.854034,826414727
2024-02-06,300.858368,303.572357,300.639465,302.710144,302.710144,680038428
